Designator,Val,Package,Mid X`,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,189.55,-95.02,90,top
C2,10u,C_0603_1608Metric,190.95,-95.02,90,top
R1,330m,R_0402_1005Metric,189,-113.49,-90,top
R2,330m,R_0402_1005Metric,181.093333,-113.565,-90,top
R3,10k,R_0402_1005Metric,199.2,-91.7,-90,top
R4,500,R_0402_1005Metric,202.1,-95.79,-90,top
R5,500,R_0402_1005Metric,202.1,-99.31,90,top
R6,10k,R_0402_1005Metric,202.1,-89.21,90,top
R7,10k,R_0402_1005Metric,199.2,-93.69,-90,top
R8,330m,R_0402_1005Metric,173.71,-116,180,top
R9,330m,R_0402_1005Metric,173.793333,-113.075,180,top
R10,330m,R_0402_1005Metric,196.41,-113.1,0,top
R11,330m,R_0402_1005Metric,196.41,-116.1,0,top
RV1,RL0603A330K,R_0603_1608Metric,172.8,-86.675,90,top
RV2,RL0603A330K,R_0603_1608Metric,172.8,-90.025,-90,top
RV3,RL0603A330K,R_0603_1608Metric,171.1,-88.308333,-90,top
RV4,RL0603A330K,R_0603_1608Metric,170.8,-101.641666,90,top
RV5,RL0603A330K,R_0603_1608Metric,172.8,-99.975,-90,top
RV6,RL0603A330K,R_0603_1608Metric,172.8,-103.325,90,top
U1,DRV8847SPWR,TSSOP-16_4.4x5mm_P0.65mm,185,-95,0,top
