Designator,Mid X,Mid Y,Rotation,Layer
C1,189.55mm,-95.02mm,90,T
C2,190.95mm,-95.02mm,90,T
R1,189mm,-113.49mm,-90,T
R2,181.093333mm,-113.565mm,-90,T
R3,199.2mm,-91.7mm,-90,T
R4,202.1mm,-95.79mm,-90,T
R5,202.1mm,-99.31mm,90,T
R6,202.1mm,-89.21mm,90,T
R7,199.2mm,-93.69mm,-90,T
R8,173.71mm,-116mm,180,T
R9,173.793333mm,-113.075mm,180,T
R10,196.41mm,-113.1mm,0,T
R11,196.41mm,-116.1mm,0,T
RV1,172.8mm,-86.675mm,90,T
RV2,172.8mm,-90.025mm,-90,T
RV3,171.1mm,-88.308333mm,-90,T
RV4,170.8mm,-101.641666mm,90,T
RV5,172.8mm,-99.975mm,-90,T
RV6,172.8mm,-103.325mm,90,T
U1,185mm,-95mm,-90,T
